Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.64427,0.57206,0.77773,0.78565,0.68192,0.430,0.570
2,0.53693,0.50207,0.83545,0.84124,0.74721,0.430,0.570
3,0.47345,0.48381,0.84637,0.85441,0.76376,0.430,0.570
4,0.43900,0.45992,0.86948,0.87505,0.78646,0.430,0.570
5,0.39168,0.46786,0.86443,0.86917,0.77995,0.430,0.570
6,0.37183,0.45190,0.87852,0.88009,0.80022,0.430,0.570
7,0.30838,0.48166,0.87376,0.87316,0.79278,0.430,0.570
8,0.29639,0.44508,0.89130,0.89377,0.80804,0.430,0.570
9,0.22499,0.48565,0.86800,0.87006,0.78516,0.430,0.570
10,0.23070,0.46313,0.89788,0.89914,0.82161,0.430,0.570
11,0.29903,0.50211,0.88065,0.88373,0.79632,0.434,0.566
12,0.45830,0.49761,0.89841,0.89460,0.82031,0.436,0.564
13,0.51864,0.57211,0.88273,0.88705,0.79985,0.436,0.564
14,0.70109,0.55735,0.89766,0.89869,0.81882,0.436,0.564
15,0.75674,0.65527,0.88429,0.88507,0.80376,0.436,0.564
16,0.91475,0.62795,0.89791,0.89668,0.81715,0.437,0.563
17,0.97275,0.72359,0.89068,0.88901,0.80711,0.437,0.563
18,1.13602,0.66008,0.89772,0.89755,0.82254,0.437,0.563
19,1.18093,0.82535,0.88817,0.88613,0.80822,0.437,0.563
20,1.29681,0.73101,0.90079,0.90118,0.82180,0.436,0.564
21,1.23643,0.82936,0.88790,0.89040,0.81138,0.437,0.563
22,1.24139,0.75128,0.90069,0.90166,0.82385,0.438,0.562
23,1.16930,0.84169,0.89173,0.89293,0.80618,0.438,0.562
24,1.16388,0.78295,0.90142,0.90323,0.82217,0.438,0.562
25,1.09991,0.89694,0.89244,0.89712,0.81436,0.437,0.563
26,1.09449,0.77053,0.90293,0.90236,0.83315,0.436,0.564
27,1.03085,0.86934,0.89833,0.89743,0.82087,0.436,0.564
28,1.01327,0.82010,0.90547,0.90613,0.82608,0.435,0.565
29,0.96348,0.90334,0.89538,0.89394,0.81678,0.435,0.565
30,0.96580,0.77708,0.90492,0.90738,0.82571,0.434,0.566
31,0.90486,0.90272,0.89868,0.90143,0.81231,0.435,0.565
32,0.89080,0.83179,0.90507,0.90811,0.82757,0.435,0.565
33,0.83720,0.92000,0.90297,0.90672,0.82719,0.435,0.565
34,0.81091,0.90382,0.90831,0.91020,0.83296,0.434,0.566
35,0.77592,1.18783,0.89405,0.89269,0.80060,0.434,0.566
36,0.78392,0.83397,0.90649,0.90960,0.83278,0.434,0.566
37,0.72739,0.94215,0.89732,0.90197,0.81845,0.434,0.566
38,0.72849,0.81375,0.90708,0.90924,0.82347,0.433,0.567
39,0.67369,0.98019,0.90193,0.90743,0.81120,0.434,0.566
40,0.66763,0.84826,0.90900,0.91157,0.83240,0.434,0.566
41,0.62833,1.00395,0.90505,0.91012,0.82068,0.436,0.564
42,0.60958,0.92219,0.90892,0.90966,0.83110,0.437,0.563
43,0.58197,0.98787,0.90485,0.90807,0.82589,0.438,0.562
44,0.58140,0.86338,0.90966,0.91086,0.83687,0.439,0.561
45,0.54138,0.98801,0.90469,0.90590,0.82143,0.439,0.561
46,0.54149,0.89395,0.91077,0.91240,0.83650,0.439,0.561
47,0.50414,1.01609,0.90809,0.90988,0.83203,0.440,0.560
48,0.51000,0.88669,0.91082,0.91136,0.83966,0.440,0.560
49,0.46897,0.98810,0.90775,0.91003,0.83389,0.441,0.559
50,0.47288,0.92046,0.90932,0.90900,0.83389,0.441,0.559
51,0.44320,0.99482,0.90587,0.91039,0.82850,0.442,0.558
52,0.43925,0.93547,0.91137,0.91224,0.83408,0.443,0.557
53,0.41096,1.09718,0.90239,0.90164,0.82571,0.444,0.556
54,0.43327,0.83214,0.90769,0.90755,0.83147,0.444,0.556
55,0.38912,1.00994,0.89995,0.89494,0.82533,0.445,0.555
56,0.39121,0.93112,0.91181,0.91209,0.83464,0.445,0.555
57,0.36403,0.98791,0.90987,0.91363,0.83538,0.445,0.555
58,0.36112,0.92694,0.91219,0.91347,0.83910,0.446,0.554
59,0.33989,0.99443,0.91240,0.91441,0.83929,0.446,0.554
60,0.33788,0.96557,0.91337,0.91576,0.83910,0.446,0.554
61,0.32489,1.03963,0.90755,0.91213,0.83333,0.447,0.553
62,0.33590,0.89129,0.91233,0.91300,0.83557,0.448,0.552
63,0.30287,0.97719,0.90759,0.91019,0.82682,0.448,0.552
64,0.31089,0.87919,0.91444,0.91552,0.83724,0.448,0.552
65,0.28481,0.94503,0.91304,0.91528,0.83482,0.448,0.552
66,0.28303,0.97584,0.91425,0.91610,0.83984,0.450,0.550
67,0.26715,1.04634,0.91043,0.91413,0.83036,0.451,0.549
68,0.27576,0.95088,0.91171,0.91337,0.83389,0.451,0.549
69,0.25652,1.04164,0.91028,0.91282,0.83054,0.451,0.549
70,0.28083,0.83878,0.91376,0.91674,0.83984,0.451,0.549
71,0.24569,0.92494,0.91122,0.91313,0.83315,0.452,0.548
72,0.23665,0.95499,0.91489,0.91634,0.83854,0.454,0.546
73,0.22579,1.02157,0.91513,0.91950,0.83854,0.454,0.546
74,0.21942,1.00281,0.91519,0.91740,0.83817,0.454,0.546
75,0.21196,1.09189,0.91458,0.91572,0.83947,0.454,0.546
76,0.21272,1.04727,0.91683,0.91953,0.83929,0.455,0.545
77,0.20251,1.11978,0.90442,0.90707,0.82887,0.455,0.545
78,0.26312,0.70620,0.91702,0.91666,0.84282,0.456,0.544
79,0.19735,0.82553,0.91640,0.91804,0.83891,0.456,0.544
80,0.19393,0.87898,0.91726,0.91885,0.84412,0.456,0.544
81,0.18739,0.92909,0.91875,0.92048,0.84542,0.456,0.544
82,0.17927,0.94381,0.91919,0.92066,0.84598,0.457,0.543
83,0.17394,0.98558,0.91673,0.91878,0.84022,0.457,0.543
84,0.17832,0.95771,0.91564,0.91812,0.83947,0.457,0.543
85,0.16793,0.98436,0.91191,0.91409,0.83929,0.457,0.543
86,0.19596,0.86090,0.91586,0.91902,0.84170,0.458,0.542
87,0.16100,0.91248,0.91208,0.91185,0.83352,0.457,0.543
88,0.16371,0.95533,0.91560,0.91726,0.84282,0.457,0.543
89,0.15212,0.96064,0.91725,0.91884,0.83594,0.458,0.542
90,0.15526,1.01683,0.91406,0.91771,0.84022,0.458,0.542
91,0.15153,1.03933,0.91317,0.91306,0.84282,0.458,0.542
92,0.16113,0.95059,0.91125,0.91247,0.83445,0.457,0.543
93,0.14156,1.08692,0.90804,0.90698,0.83203,0.457,0.543
94,0.15411,0.90406,0.91443,0.91589,0.83873,0.457,0.543
95,0.13790,0.99120,0.90903,0.90783,0.83891,0.457,0.543
96,0.15420,0.91513,0.91558,0.91903,0.83464,0.457,0.543
97,0.13101,0.99664,0.91088,0.91570,0.82682,0.458,0.542
98,0.14247,0.94226,0.91423,0.91609,0.83891,0.458,0.542
99,0.12489,0.99115,0.91573,0.91727,0.84022,0.458,0.542
100,0.12797,1.01286,0.91453,0.91719,0.83929,0.458,0.542
101,0.12456,1.06760,0.91236,0.91658,0.82757,0.458,0.542
102,0.12227,1.04151,0.91684,0.91953,0.83538,0.459,0.541
103,0.11502,1.07531,0.91776,0.92044,0.83984,0.459,0.541
104,0.11523,1.06286,0.91609,0.91901,0.83984,0.459,0.541
105,0.11141,1.11808,0.91377,0.91609,0.83259,0.459,0.541
106,0.14662,0.86537,0.91351,0.91407,0.83668,0.458,0.542
107,0.10915,0.97820,0.91414,0.91707,0.83464,0.457,0.543
108,0.10843,0.99790,0.91559,0.91756,0.83947,0.458,0.542
109,0.10398,1.05238,0.91304,0.91371,0.83743,0.458,0.542
110,0.10883,1.05555,0.91344,0.91438,0.84152,0.458,0.542
111,0.10485,1.09414,0.90962,0.91120,0.83222,0.458,0.542
112,0.13159,0.87932,0.91064,0.91402,0.83798,0.457,0.543
