Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.62842,0.55905,0.80272,0.64787,0.77588,0.430,0.570
2,0.51314,0.49059,0.84259,0.71526,0.77734,0.430,0.570
3,0.47659,0.50140,0.84232,0.70763,0.79785,0.430,0.570
4,0.46950,0.47695,0.85235,0.72538,0.78931,0.430,0.570
5,0.45182,0.49909,0.85010,0.72183,0.70581,0.430,0.570
6,0.44059,0.44853,0.87017,0.75126,0.79590,0.430,0.570
7,0.40913,0.46636,0.85971,0.74121,0.78979,0.430,0.570
8,0.39611,0.43007,0.89057,0.78522,0.83252,0.430,0.570
9,0.35856,0.52153,0.86796,0.75386,0.81934,0.430,0.570
10,0.35168,0.41575,0.89658,0.79813,0.83301,0.430,0.570
11,0.44856,0.44525,0.88105,0.76834,0.80322,0.434,0.566
12,0.58585,0.41834,0.89654,0.80002,0.83032,0.437,0.563
13,0.66624,0.46602,0.88505,0.77709,0.81787,0.437,0.563
14,0.80769,0.42772,0.90065,0.80627,0.83545,0.437,0.563
15,0.87451,0.46218,0.89680,0.79312,0.81909,0.437,0.563
16,1.00879,0.48382,0.90170,0.80526,0.84253,0.440,0.560
17,1.05630,0.56368,0.87955,0.75552,0.82129,0.440,0.560
18,1.17907,0.52035,0.89575,0.79969,0.82983,0.440,0.560
19,1.22158,0.58278,0.88942,0.79012,0.83301,0.440,0.560
20,1.33450,0.60309,0.89351,0.80010,0.84131,0.439,0.561
21,1.25204,0.71481,0.89617,0.80350,0.83911,0.441,0.559
22,1.23415,0.65857,0.89733,0.80709,0.84253,0.442,0.558
23,1.16057,0.77573,0.89213,0.79314,0.84546,0.441,0.559
24,1.14486,0.78241,0.89339,0.79932,0.83911,0.441,0.559
25,1.08680,0.79241,0.88885,0.79431,0.83643,0.441,0.559
26,1.09073,0.79892,0.89302,0.80186,0.84058,0.441,0.559
27,1.02314,0.88204,0.88765,0.78593,0.84058,0.441,0.559
28,1.00560,0.88118,0.89589,0.80235,0.84595,0.441,0.559
29,0.95447,0.96933,0.89207,0.79465,0.84253,0.441,0.559
30,0.94325,0.91166,0.89637,0.80205,0.84570,0.440,0.560
31,0.89904,0.96633,0.89561,0.80214,0.84399,0.441,0.559
32,0.87444,1.01280,0.89330,0.80171,0.84619,0.441,0.559
33,0.83528,1.01398,0.89397,0.79980,0.83716,0.441,0.559
34,0.84414,0.99000,0.88664,0.78522,0.83594,0.442,0.558
35,0.78497,0.95059,0.89036,0.78941,0.82910,0.443,0.557
36,0.80193,0.98457,0.89182,0.79360,0.84229,0.443,0.557
37,0.73495,1.03725,0.89113,0.79170,0.84082,0.444,0.556
38,0.73018,0.97095,0.89213,0.78781,0.84058,0.445,0.555
39,0.68262,1.17329,0.88125,0.77490,0.83984,0.445,0.555
40,0.65449,1.10308,0.89400,0.79746,0.85254,0.446,0.554
41,0.63413,1.12443,0.89306,0.79763,0.84692,0.447,0.553
42,0.60919,1.13855,0.89526,0.79938,0.84595,0.448,0.552
43,0.58812,1.11903,0.89661,0.79473,0.84741,0.448,0.552
44,0.56891,1.10994,0.89696,0.79645,0.84888,0.449,0.551
45,0.54426,1.18170,0.89809,0.80034,0.85107,0.449,0.551
46,0.53381,1.18108,0.89254,0.78744,0.84424,0.450,0.550
