Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.64669,0.59509,0.76197,0.77653,0.67001,0.727,0.273
2,0.53254,0.51461,0.82697,0.83636,0.74405,0.759,0.241
3,0.47999,0.53115,0.83082,0.83598,0.73196,0.776,0.224
4,0.45778,0.48561,0.85301,0.85858,0.76395,0.786,0.214
5,0.41630,0.47948,0.85433,0.86142,0.76953,0.798,0.202
6,0.39764,0.46547,0.86783,0.87271,0.78590,0.815,0.185
7,0.34442,0.48302,0.85737,0.86274,0.76693,0.830,0.170
8,0.33588,0.47504,0.87921,0.88300,0.79557,0.843,0.157
9,0.26404,0.53021,0.84719,0.86161,0.77028,0.858,0.142
10,0.25903,0.49628,0.88474,0.88929,0.80394,0.877,0.123
11,0.19100,0.55373,0.86694,0.87201,0.77437,0.890,0.110
12,0.20385,0.52844,0.88968,0.89487,0.81492,0.867,0.133
13,0.11915,0.66065,0.86688,0.87735,0.77065,0.880,0.120
14,0.16536,0.57474,0.89406,0.90122,0.81827,0.926,0.074
15,0.08579,0.67251,0.87416,0.88090,0.79464,0.950,0.050
16,0.13430,0.62166,0.89643,0.89919,0.82087,0.969,0.031
17,0.05010,0.78682,0.88345,0.88453,0.79781,0.970,0.030
18,0.10190,0.70983,0.89400,0.89900,0.81548,0.971,0.029
19,0.04187,0.83682,0.88721,0.89253,0.79762,0.970,0.030
20,0.09618,0.71916,0.89484,0.89913,0.81715,0.967,0.033
21,0.02663,0.91439,0.88864,0.89274,0.80004,0.966,0.034
22,0.05310,0.81682,0.89589,0.90056,0.81864,0.966,0.034
23,0.02362,0.92124,0.89070,0.89270,0.81510,0.965,0.035
24,0.04887,0.88209,0.89643,0.90285,0.81585,0.965,0.035
25,0.01870,1.00043,0.89077,0.89337,0.81176,0.964,0.036
26,0.77559,0.81813,0.89518,0.89972,0.81864,0.967,0.033
27,0.71828,0.92630,0.88365,0.89037,0.80450,0.967,0.033
28,0.74504,0.83539,0.90079,0.90623,0.82515,0.958,0.042
29,0.69745,0.94429,0.89379,0.89850,0.82217,0.959,0.041
30,0.70708,0.87598,0.90358,0.90827,0.82701,0.956,0.044
31,0.67451,0.95156,0.89749,0.90072,0.82385,0.956,0.044
32,0.70470,0.85757,0.90197,0.90622,0.82217,0.930,0.070
33,0.65518,0.90326,0.89891,0.90547,0.82645,0.930,0.070
34,0.65594,0.93715,0.90217,0.90768,0.82775,0.926,0.074
35,0.63026,1.07299,0.89608,0.90270,0.81734,0.924,0.076
36,0.64213,0.97860,0.90168,0.90542,0.83259,0.938,0.062
37,0.61142,1.16603,0.89023,0.89690,0.81641,0.942,0.058
38,0.63964,0.90636,0.89681,0.90206,0.82552,0.933,0.067
39,0.58707,0.96529,0.89772,0.90279,0.82068,0.934,0.066
40,0.58808,0.97581,0.90119,0.90647,0.82515,0.936,0.064
41,0.56249,1.14451,0.89161,0.89512,0.81250,0.937,0.063
42,0.57008,1.02239,0.89876,0.90530,0.82273,0.942,0.058
43,0.53947,1.13550,0.88841,0.89183,0.81287,0.941,0.059
44,0.56402,0.87986,0.90018,0.90676,0.82050,0.932,0.068
45,0.51736,1.00219,0.89744,0.90441,0.81901,0.931,0.069
46,0.51147,1.01431,0.90284,0.90868,0.82422,0.934,0.066
47,0.48984,1.11380,0.89822,0.90644,0.81306,0.934,0.066
48,0.48235,1.06171,0.90421,0.90987,0.82906,0.937,0.063
49,0.46595,1.13855,0.90080,0.90479,0.82626,0.938,0.062
50,0.48798,0.89702,0.90228,0.90592,0.82775,0.931,0.069
51,0.44522,1.02274,0.89770,0.90187,0.82050,0.935,0.065
52,0.44130,1.06076,0.90181,0.90809,0.82496,0.931,0.069
53,0.41911,1.14131,0.90085,0.90586,0.82719,0.931,0.069
54,0.41689,1.07248,0.90404,0.91111,0.82366,0.929,0.071
