Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.65113,0.57092,0.76213,0.79182,0.70267,0.563,0.437
2,0.50622,0.47356,0.85260,0.86141,0.77183,0.581,0.419
3,0.45881,0.47517,0.85236,0.86078,0.77482,0.599,0.401
4,0.43993,0.45582,0.86768,0.87292,0.78860,0.619,0.381
5,0.41131,0.47968,0.85775,0.87209,0.77091,0.633,0.367
6,0.40621,0.44178,0.87806,0.88326,0.79688,0.651,0.349
7,0.37518,0.43445,0.88000,0.88395,0.80147,0.665,0.335
8,0.36608,0.42459,0.88892,0.89469,0.80905,0.693,0.307
9,0.32841,0.46296,0.88014,0.88298,0.79274,0.714,0.286
10,0.32931,0.42515,0.89509,0.89862,0.81135,0.731,0.269
11,0.28716,0.45585,0.88649,0.89311,0.80653,0.744,0.256
12,0.28708,0.43557,0.89905,0.90229,0.81273,0.750,0.250
13,0.23280,0.45686,0.88252,0.88701,0.80285,0.771,0.229
14,0.23902,0.46791,0.89730,0.89877,0.81595,0.787,0.213
15,0.17959,0.48829,0.88480,0.88553,0.80147,0.803,0.197
16,0.20845,0.47899,0.89815,0.89795,0.82123,0.820,0.180
17,0.15408,0.55074,0.87171,0.86270,0.78929,0.829,0.171
18,0.18644,0.51019,0.90015,0.90099,0.82514,0.834,0.166
19,0.12120,0.57755,0.88931,0.88915,0.80859,0.844,0.156
20,0.14528,0.54609,0.90073,0.89992,0.82835,0.856,0.144
21,0.13005,0.64894,0.88150,0.88118,0.80538,0.864,0.136
22,0.20794,0.57466,0.90168,0.89954,0.82468,0.857,0.143
23,0.18306,0.63927,0.89490,0.89617,0.82491,0.867,0.133
24,0.25142,0.62587,0.90017,0.89825,0.82537,0.881,0.119
25,0.23292,0.72560,0.88355,0.87571,0.80813,0.878,0.122
26,0.30474,0.72271,0.89674,0.89487,0.82215,0.877,0.123
27,0.29809,0.77907,0.88730,0.88472,0.79802,0.879,0.121
28,0.36866,0.75231,0.89622,0.89400,0.82307,0.884,0.116
29,0.35483,0.81267,0.89223,0.89008,0.81756,0.889,0.111
30,0.41488,0.79942,0.89783,0.89624,0.82307,0.883,0.117
31,0.37661,0.83267,0.89453,0.89065,0.81572,0.886,0.114
32,0.42335,0.78885,0.89630,0.89416,0.82767,0.880,0.120
33,0.37573,0.88665,0.88493,0.87933,0.80469,0.876,0.124
34,0.40174,0.82903,0.89363,0.88805,0.82376,0.876,0.124
35,0.36486,0.92152,0.89385,0.89411,0.80813,0.879,0.121
36,0.38558,0.86175,0.89463,0.88987,0.82307,0.863,0.137
37,0.35048,0.91179,0.89745,0.89223,0.82468,0.861,0.139
38,0.36319,0.98069,0.89139,0.88957,0.81893,0.864,0.136
39,0.33806,1.05923,0.88939,0.89155,0.80584,0.866,0.134
40,0.37369,0.97206,0.89366,0.89324,0.81962,0.867,0.133
41,0.33273,1.00087,0.89299,0.89136,0.81503,0.870,0.130
42,0.35376,0.98645,0.89412,0.89085,0.82491,0.872,0.128
43,0.32658,1.03377,0.88409,0.88091,0.81020,0.872,0.128
44,0.35645,0.94535,0.89830,0.89638,0.81985,0.871,0.129
45,0.32116,1.09566,0.89682,0.89618,0.82123,0.874,0.126
46,0.33879,1.01657,0.89481,0.88972,0.82790,0.892,0.108
47,0.30861,1.04836,0.89019,0.88458,0.82100,0.894,0.106
48,0.33672,1.01348,0.89258,0.88742,0.82468,0.876,0.124
49,0.30550,1.08590,0.88648,0.88200,0.81273,0.870,0.130
50,0.33568,0.98105,0.89641,0.89128,0.82927,0.868,0.132
51,0.29546,1.09219,0.89531,0.89066,0.82330,0.870,0.130
52,0.30227,1.05483,0.89427,0.89269,0.82583,0.876,0.124
