Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.59678,0.52168,0.81251,0.83824,0.73231,0.835,0.165
2,0.47659,0.45295,0.86656,0.88482,0.78079,0.835,0.165
3,0.41622,0.47518,0.86233,0.87952,0.77252,0.835,0.165
4,0.39290,0.41863,0.88866,0.90114,0.80653,0.835,0.165
5,0.33716,0.42447,0.88674,0.90033,0.80101,0.835,0.165
6,0.30412,0.38302,0.91140,0.92218,0.83203,0.835,0.165
7,0.24095,0.39822,0.90733,0.91780,0.82445,0.835,0.165
8,0.21708,0.40425,0.92083,0.92979,0.84490,0.835,0.165
9,0.14253,0.43356,0.90510,0.91431,0.83525,0.835,0.165
10,0.15477,0.43541,0.92039,0.92900,0.84926,0.835,0.165
11,0.23014,0.50862,0.90758,0.91897,0.83456,0.842,0.158
12,0.39627,0.46002,0.92562,0.93442,0.84926,0.851,0.149
13,0.45818,0.55493,0.91114,0.91786,0.83663,0.851,0.149
14,0.62861,0.54752,0.92377,0.93114,0.84766,0.849,0.151
15,0.71376,0.67648,0.91291,0.92178,0.84030,0.848,0.152
16,0.90036,0.54629,0.92547,0.93393,0.85156,0.846,0.154
17,0.95477,0.66176,0.91684,0.92589,0.84214,0.845,0.155
18,1.10459,0.59626,0.92346,0.93119,0.84972,0.842,0.158
19,1.17105,0.70441,0.92221,0.93180,0.84903,0.840,0.160
20,1.27716,0.67610,0.92574,0.93161,0.85524,0.836,0.164
21,1.24915,0.77104,0.91697,0.92744,0.84398,0.834,0.166
22,1.24571,0.65338,0.92690,0.93327,0.85915,0.831,0.169
23,1.18014,0.74516,0.92172,0.92874,0.84766,0.829,0.171
24,1.16891,0.68854,0.92430,0.93090,0.85409,0.825,0.175
25,1.12157,0.80073,0.92050,0.92830,0.84030,0.823,0.177
26,1.14478,0.65815,0.92119,0.92888,0.84835,0.820,0.180
27,1.06362,0.78749,0.92212,0.93130,0.85041,0.819,0.181
28,1.03696,0.72967,0.92371,0.93106,0.85133,0.815,0.185
29,0.99887,0.79539,0.92579,0.93396,0.85409,0.813,0.187
30,0.96088,0.80201,0.92948,0.93707,0.85846,0.809,0.191
31,0.94633,0.88343,0.92803,0.93670,0.84766,0.807,0.193
32,0.89918,0.84190,0.92971,0.93723,0.86006,0.804,0.196
33,0.87618,0.84391,0.92987,0.93687,0.85823,0.802,0.198
34,0.84481,0.82723,0.92760,0.93548,0.85754,0.798,0.202
35,0.82469,0.96027,0.91207,0.92207,0.83847,0.796,0.204
36,0.93668,0.51146,0.92331,0.92955,0.85248,0.782,0.218
37,0.78544,0.71397,0.91610,0.92570,0.84053,0.778,0.222
38,0.75748,0.67884,0.92651,0.93178,0.85547,0.775,0.225
39,0.72199,0.76315,0.92391,0.92920,0.85317,0.774,0.226
40,0.69867,0.77565,0.92588,0.93319,0.85478,0.771,0.229
41,0.68133,0.83808,0.92325,0.93067,0.84881,0.769,0.231
42,0.64860,0.84315,0.92599,0.93299,0.85777,0.767,0.233
43,0.62669,0.85684,0.92717,0.93468,0.85823,0.765,0.235
44,0.60536,0.89537,0.92844,0.93628,0.85846,0.762,0.238
45,0.59290,0.91401,0.91024,0.92275,0.83203,0.761,0.239
46,0.65902,0.56649,0.92680,0.93497,0.85018,0.757,0.243
47,0.55438,0.70161,0.92641,0.93358,0.85409,0.757,0.243
48,0.53817,0.74453,0.92714,0.93501,0.85294,0.754,0.246
49,0.51354,0.78077,0.92814,0.93559,0.85570,0.753,0.247
50,0.49673,0.78835,0.92947,0.93745,0.85754,0.750,0.250
51,0.48671,0.87286,0.92866,0.93602,0.85846,0.750,0.250
52,0.46037,0.83522,0.93048,0.93885,0.85386,0.748,0.252
53,0.44652,0.87960,0.92698,0.93499,0.85455,0.747,0.253
54,0.48958,0.64398,0.92637,0.93295,0.85570,0.745,0.255
55,0.42745,0.79912,0.92355,0.93231,0.84766,0.743,0.257
56,0.43444,0.73230,0.92741,0.93534,0.85133,0.742,0.258
57,0.39883,0.79895,0.92543,0.93338,0.85363,0.741,0.259
58,0.38958,0.80500,0.92891,0.93587,0.86121,0.739,0.261
59,0.37302,0.89685,0.92968,0.93743,0.86259,0.738,0.262
60,0.36887,0.82976,0.92816,0.93453,0.86075,0.737,0.263
61,0.35944,0.93890,0.92412,0.93246,0.85087,0.736,0.264
62,0.34975,0.85384,0.92789,0.93662,0.85501,0.735,0.265
63,0.33432,0.99726,0.92388,0.93215,0.85248,0.734,0.266
64,0.36100,0.69058,0.92776,0.93493,0.85708,0.732,0.268
65,0.32012,0.76430,0.92319,0.93306,0.85041,0.731,0.269
66,0.32702,0.78296,0.92634,0.93259,0.85823,0.728,0.272
67,0.29708,0.84676,0.92913,0.93470,0.86305,0.728,0.272
68,0.28724,0.88257,0.92929,0.93485,0.85892,0.727,0.273
69,0.28068,0.89880,0.92382,0.92847,0.85087,0.726,0.274
70,0.28558,0.86331,0.92519,0.93227,0.85754,0.724,0.276
71,0.27575,0.95117,0.92428,0.93405,0.85570,0.724,0.276
72,0.27166,0.93131,0.92478,0.93181,0.85156,0.724,0.276
73,0.25409,0.96064,0.92252,0.92851,0.85018,0.723,0.277
74,0.25330,0.91930,0.92523,0.93253,0.85731,0.722,0.278
75,0.24454,0.93397,0.91492,0.92263,0.83938,0.721,0.279
76,0.27464,0.74381,0.92558,0.93282,0.85846,0.724,0.276
77,0.22951,0.88128,0.92367,0.93238,0.85501,0.725,0.275
78,0.22528,0.90536,0.92606,0.93337,0.86190,0.724,0.276
79,0.22021,1.00954,0.91900,0.92675,0.83410,0.723,0.277
80,0.23751,0.78252,0.92567,0.93105,0.86328,0.722,0.278
81,0.21580,0.86200,0.92677,0.93395,0.85915,0.721,0.279
82,0.20593,0.88188,0.92570,0.93332,0.86259,0.721,0.279
