Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.63981,0.57050,0.77020,0.77401,0.69643,0.226,0.774
2,0.52468,0.48088,0.85018,0.85058,0.76525,0.249,0.751
3,0.45189,0.52348,0.85616,0.85313,0.74293,0.272,0.728
4,0.41444,0.43219,0.88311,0.88144,0.80022,0.277,0.723
5,0.34892,0.45880,0.86972,0.86943,0.78683,0.294,0.706
6,0.32076,0.40632,0.90332,0.90302,0.82254,0.311,0.689
7,0.25131,0.45476,0.88004,0.88578,0.79520,0.336,0.664
8,0.23597,0.41805,0.90973,0.91187,0.82831,0.349,0.651
9,0.15807,0.49053,0.89037,0.89111,0.80729,0.377,0.623
10,0.17010,0.45921,0.91278,0.91334,0.83296,0.402,0.598
11,0.07727,0.52408,0.89628,0.89743,0.81417,0.432,0.568
12,0.13009,0.50637,0.91336,0.91452,0.83798,0.459,0.541
13,0.04605,0.63040,0.89250,0.89309,0.81436,0.478,0.522
14,0.09863,0.55139,0.91571,0.91634,0.83743,0.485,0.515
15,0.03260,0.73568,0.90027,0.89765,0.81864,0.495,0.505
16,0.07552,0.61784,0.91463,0.91747,0.83743,0.511,0.489
17,0.02033,0.77464,0.90741,0.90921,0.83017,0.520,0.480
18,0.07326,0.61962,0.91678,0.91717,0.84040,0.527,0.473
19,0.01617,0.74387,0.91462,0.91479,0.83798,0.530,0.470
20,0.04272,0.70100,0.91483,0.91920,0.83798,0.538,0.462
21,0.71431,0.81715,0.91149,0.91206,0.83110,0.542,0.458
22,0.73612,0.70552,0.91773,0.91995,0.84468,0.549,0.451
23,0.70312,0.81278,0.90779,0.90756,0.83371,0.550,0.450
24,0.73736,0.67225,0.91551,0.91587,0.83817,0.542,0.458
25,0.67776,0.75974,0.91543,0.91884,0.84040,0.543,0.457
26,0.67934,0.75028,0.91726,0.91960,0.84263,0.553,0.447
27,0.65024,0.82484,0.91876,0.92089,0.84673,0.551,0.449
28,0.64526,0.81702,0.91618,0.91750,0.84319,0.553,0.447
29,0.63031,0.93180,0.90481,0.90670,0.82571,0.553,0.447
30,0.68165,0.61930,0.91935,0.91930,0.84747,0.544,0.456
31,0.60484,0.77532,0.91455,0.91198,0.83724,0.548,0.452
32,0.59145,0.79954,0.91862,0.91866,0.84710,0.569,0.431
33,0.57367,0.87615,0.91675,0.91573,0.84784,0.574,0.426
34,0.56401,0.84871,0.91697,0.91682,0.84133,0.573,0.427
35,0.54403,0.88763,0.91804,0.92069,0.84077,0.569,0.431
36,0.53050,0.89531,0.91967,0.92098,0.84412,0.571,0.429
37,0.52742,1.12634,0.89373,0.89475,0.78404,0.566,0.434
38,0.58875,0.60919,0.91883,0.92227,0.84022,0.505,0.495
39,0.49386,0.79609,0.91337,0.91737,0.83017,0.506,0.494
40,0.49445,0.75598,0.91689,0.91889,0.84375,0.536,0.464
41,0.46315,0.89934,0.91564,0.91777,0.82906,0.547,0.453
42,0.46253,0.78721,0.92085,0.92358,0.84487,0.548,0.452
43,0.43916,0.89240,0.91004,0.91511,0.83650,0.552,0.448
44,0.46197,0.72300,0.91626,0.91809,0.84133,0.587,0.413
45,0.41391,0.84253,0.91492,0.91875,0.84003,0.593,0.407
46,0.41117,0.79306,0.91901,0.91906,0.84468,0.587,0.413
47,0.38798,0.86425,0.91636,0.91719,0.84356,0.591,0.409
48,0.38830,0.84635,0.91825,0.91956,0.84505,0.599,0.401
49,0.36511,0.89703,0.91227,0.91391,0.84096,0.601,0.399
50,0.36060,0.85819,0.92023,0.92230,0.84617,0.606,0.394
51,0.34471,0.96848,0.90932,0.90788,0.83910,0.618,0.382
52,0.37301,0.73009,0.91912,0.91991,0.84617,0.611,0.389
53,0.33013,0.87509,0.90826,0.90579,0.83315,0.611,0.389
54,0.34896,0.74145,0.91820,0.91818,0.84617,0.622,0.378
55,0.30955,0.85743,0.91498,0.91806,0.83761,0.626,0.374
56,0.30474,0.85193,0.92089,0.92178,0.85026,0.612,0.388
57,0.29129,0.86355,0.91887,0.92006,0.84691,0.614,0.386
58,0.28154,0.88049,0.92120,0.92185,0.85435,0.626,0.374
59,0.27344,0.89900,0.92059,0.92271,0.84673,0.630,0.370
60,0.26396,0.85663,0.92111,0.92233,0.85379,0.626,0.374
