Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.62766,0.55673,0.80591,0.64979,0.77539,0.430,0.570
2,0.51032,0.48803,0.84406,0.71725,0.78027,0.430,0.570
3,0.47633,0.51090,0.84238,0.70839,0.80078,0.430,0.570
4,0.46969,0.47377,0.85456,0.72918,0.79272,0.430,0.570
5,0.44665,0.49640,0.84634,0.72134,0.70532,0.430,0.570
6,0.43174,0.43823,0.87694,0.76509,0.80615,0.430,0.570
7,0.39602,0.46781,0.87408,0.75729,0.82153,0.430,0.570
8,0.38481,0.41876,0.89648,0.79687,0.84009,0.430,0.570
9,0.34889,0.52089,0.86653,0.75188,0.81714,0.430,0.570
10,0.34266,0.40328,0.90298,0.81037,0.83301,0.430,0.570
11,0.43901,0.43908,0.88931,0.78587,0.81421,0.433,0.567
12,0.57445,0.40950,0.90291,0.80898,0.83325,0.435,0.565
13,0.65791,0.43369,0.89681,0.79981,0.82568,0.435,0.565
14,0.79798,0.42580,0.90440,0.81308,0.84253,0.435,0.565
15,0.86718,0.44975,0.89723,0.80172,0.83447,0.435,0.565
16,1.00295,0.48794,0.90339,0.81384,0.84399,0.439,0.561
17,1.05817,0.58210,0.88070,0.76505,0.83228,0.440,0.560
18,1.18008,0.50546,0.90265,0.81592,0.84302,0.440,0.560
19,1.22321,0.54067,0.89892,0.80067,0.83740,0.440,0.560
20,1.33645,0.61825,0.89706,0.80781,0.84644,0.439,0.561
21,1.25711,0.70050,0.89477,0.80727,0.84888,0.441,0.559
22,1.25039,0.63509,0.89662,0.80336,0.84082,0.442,0.558
23,1.17068,0.78152,0.88979,0.79714,0.84448,0.442,0.558
24,1.15554,0.75309,0.89730,0.80734,0.85010,0.442,0.558
25,1.09981,0.79512,0.89204,0.80109,0.84106,0.442,0.558
26,1.09161,0.78194,0.89865,0.80887,0.85254,0.441,0.559
27,1.02822,0.79003,0.90030,0.81120,0.84888,0.441,0.559
28,1.02475,0.82908,0.89751,0.80486,0.84961,0.441,0.559
29,0.96484,0.88629,0.89072,0.78791,0.84619,0.441,0.559
30,0.94562,0.93843,0.89659,0.80646,0.85034,0.440,0.560
31,0.90499,0.91335,0.89635,0.80334,0.84546,0.441,0.559
32,0.87734,0.95046,0.89598,0.80296,0.84595,0.441,0.559
33,0.84484,1.00318,0.89230,0.80247,0.84790,0.441,0.559
34,0.85235,0.92862,0.89008,0.79559,0.84204,0.441,0.559
35,0.79879,1.00936,0.87097,0.76792,0.82349,0.442,0.558
36,0.82043,0.85706,0.89499,0.80656,0.84912,0.442,0.558
37,0.74297,0.97265,0.89898,0.80143,0.84985,0.442,0.558
38,0.73696,0.97188,0.89000,0.79669,0.84741,0.443,0.557
39,0.69423,0.97641,0.89333,0.80447,0.84473,0.444,0.556
40,0.68613,1.01040,0.89528,0.80315,0.84863,0.445,0.555
41,0.64779,1.04646,0.88789,0.78867,0.84180,0.445,0.555
42,0.63913,0.99037,0.89763,0.81124,0.84863,0.447,0.553
43,0.60042,1.19889,0.89419,0.81454,0.85205,0.447,0.553
44,0.58871,1.07744,0.89492,0.80525,0.85107,0.448,0.552
45,0.56008,1.26266,0.89221,0.80364,0.84814,0.448,0.552
46,0.55189,1.06880,0.89731,0.80474,0.85156,0.449,0.551
47,0.52100,1.13917,0.89782,0.80765,0.85303,0.450,0.550
48,0.49806,1.15740,0.89814,0.80449,0.85303,0.450,0.550
49,0.48118,1.21475,0.89752,0.80611,0.85449,0.451,0.549
50,0.45802,1.21436,0.89996,0.81039,0.85840,0.451,0.549
51,0.44933,1.23702,0.89938,0.80974,0.85742,0.452,0.548
52,0.42295,1.28714,0.89985,0.81178,0.85571,0.452,0.548
53,0.41106,1.24669,0.90049,0.81204,0.85596,0.453,0.547
54,0.39077,1.28925,0.90039,0.81311,0.85620,0.453,0.547
