Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.60592,0.52337,0.81928,0.85150,0.74288,0.683,0.317
2,0.49167,0.46594,0.86094,0.87804,0.77528,0.683,0.317
3,0.45311,0.47655,0.86102,0.88013,0.77183,0.683,0.317
4,0.42979,0.42316,0.88777,0.89936,0.80032,0.683,0.317
5,0.38180,0.46431,0.87942,0.89124,0.77941,0.683,0.317
6,0.36274,0.40809,0.90037,0.90867,0.81756,0.683,0.317
7,0.31484,0.40578,0.90168,0.90860,0.81618,0.683,0.317
8,0.29869,0.41379,0.90820,0.91306,0.82399,0.683,0.317
9,0.23238,0.46684,0.90128,0.90794,0.80446,0.683,0.317
10,0.23754,0.42539,0.91467,0.91867,0.84053,0.683,0.317
11,0.30857,0.48563,0.89109,0.89653,0.80308,0.687,0.313
12,0.46104,0.44152,0.91828,0.92326,0.84421,0.690,0.310
13,0.51839,0.57838,0.90071,0.90585,0.81549,0.690,0.310
14,0.69779,0.46522,0.92332,0.92600,0.84628,0.689,0.311
15,0.74589,0.67591,0.90923,0.91586,0.80882,0.688,0.312
16,0.92691,0.54391,0.92085,0.92681,0.84789,0.686,0.314
17,0.97793,0.67752,0.90897,0.91215,0.82835,0.687,0.313
18,1.13902,0.61984,0.92181,0.92669,0.84007,0.685,0.315
19,1.19913,0.70100,0.91706,0.92257,0.83732,0.683,0.317
20,1.32451,0.64380,0.92181,0.92485,0.85202,0.681,0.319
21,1.27836,0.70134,0.91915,0.92520,0.84352,0.679,0.321
22,1.28119,0.64042,0.92180,0.92660,0.85202,0.677,0.323
23,1.21719,0.68674,0.92142,0.92715,0.84812,0.675,0.325
24,1.21245,0.67746,0.92450,0.92836,0.85593,0.672,0.328
25,1.15500,0.77175,0.91868,0.92379,0.84306,0.670,0.330
26,1.15223,0.72014,0.92469,0.93031,0.85156,0.667,0.333
27,1.10605,0.85497,0.91643,0.92555,0.82629,0.664,0.336
28,1.12401,0.63874,0.92550,0.92846,0.85409,0.661,0.339
29,1.04598,0.74199,0.92572,0.93102,0.84352,0.659,0.341
30,1.02451,0.72079,0.92744,0.93376,0.85777,0.656,0.344
31,0.99246,0.76187,0.92126,0.92544,0.84467,0.655,0.345
32,0.99127,0.70587,0.92676,0.92971,0.85960,0.652,0.348
33,0.93237,0.80996,0.92284,0.92646,0.85133,0.651,0.349
34,0.92365,0.77289,0.92270,0.92803,0.84995,0.647,0.353
35,0.88157,0.83356,0.92116,0.92718,0.84743,0.645,0.355
36,0.88973,0.74538,0.92448,0.92732,0.85386,0.645,0.355
37,0.83326,0.87381,0.91527,0.91697,0.83984,0.644,0.356
38,0.82685,0.72073,0.92675,0.92793,0.85317,0.641,0.359
39,0.77840,0.82703,0.92310,0.92809,0.85110,0.639,0.361
40,0.75993,0.82407,0.92833,0.93147,0.85639,0.636,0.364
41,0.73558,0.88010,0.92578,0.92445,0.86006,0.634,0.366
42,0.72004,0.82448,0.92648,0.93040,0.85570,0.632,0.368
43,0.68752,0.82230,0.92347,0.92511,0.85639,0.630,0.370
44,0.69732,0.72172,0.92621,0.93062,0.86052,0.627,0.373
45,0.64651,0.82734,0.92695,0.93245,0.85777,0.625,0.375
46,0.63256,0.81991,0.93045,0.93569,0.85754,0.623,0.377
47,0.60384,0.88894,0.92435,0.93085,0.85639,0.621,0.379
48,0.59606,0.82731,0.92534,0.93021,0.85777,0.618,0.382
49,0.56602,0.90429,0.92461,0.92930,0.85662,0.617,0.383
50,0.55881,0.87604,0.92537,0.93079,0.85547,0.614,0.386
51,0.53814,0.89997,0.92434,0.92870,0.85570,0.613,0.387
52,0.53778,0.83435,0.92319,0.92755,0.85616,0.611,0.389
53,0.50529,1.03917,0.91669,0.92646,0.82606,0.610,0.390
54,0.51839,0.72806,0.92812,0.93337,0.86259,0.608,0.392
55,0.47041,0.88105,0.92196,0.92837,0.84513,0.606,0.394
56,0.46549,0.85649,0.92651,0.93084,0.85409,0.605,0.395
57,0.44272,1.00473,0.92339,0.93169,0.83915,0.605,0.395
58,0.44494,0.80127,0.92848,0.93493,0.85846,0.602,0.398
59,0.41678,0.88382,0.92894,0.93640,0.85960,0.601,0.399
60,0.41121,0.87504,0.92809,0.93575,0.85685,0.599,0.401
61,0.39634,0.96756,0.92649,0.93294,0.85570,0.598,0.402
62,0.39004,0.89873,0.92988,0.93736,0.85777,0.596,0.404
63,0.36987,0.92834,0.92890,0.93676,0.86351,0.595,0.405
64,0.38262,0.84314,0.92496,0.93084,0.85800,0.593,0.407
65,0.35400,0.91480,0.91927,0.92342,0.84926,0.592,0.408
66,0.36817,0.81366,0.92789,0.93346,0.86098,0.591,0.409
67,0.33383,0.97115,0.91563,0.92459,0.83938,0.590,0.410
68,0.34402,0.79181,0.92925,0.93322,0.85983,0.587,0.413
69,0.31465,0.84890,0.92814,0.93169,0.85983,0.586,0.414
70,0.30431,0.90822,0.92984,0.93297,0.85800,0.584,0.416
71,0.29858,0.95217,0.93041,0.93373,0.86144,0.582,0.418
72,0.28676,0.95263,0.93139,0.93685,0.86006,0.580,0.420
73,0.27886,0.96394,0.93041,0.93519,0.85708,0.579,0.421
74,0.28177,0.89699,0.92708,0.93237,0.85777,0.576,0.424
75,0.26462,0.96173,0.92800,0.93265,0.85685,0.575,0.425
76,0.25661,0.97595,0.93058,0.93316,0.86466,0.573,0.427
77,0.24763,0.99765,0.93040,0.93359,0.86535,0.571,0.429
78,0.23785,1.00555,0.93100,0.93436,0.86581,0.569,0.431
79,0.23239,1.01708,0.93129,0.93485,0.86489,0.567,0.433
80,0.22290,1.02613,0.93142,0.93527,0.86512,0.564,0.436
81,0.22030,1.03545,0.93138,0.93521,0.86420,0.563,0.437
82,0.20821,1.04224,0.93148,0.93538,0.86420,0.560,0.440
83,0.20296,1.05008,0.93132,0.93542,0.86466,0.559,0.441
84,0.19390,1.05804,0.93113,0.93501,0.86512,0.556,0.444
85,0.18880,1.06444,0.93155,0.93557,0.86397,0.554,0.446
86,0.18249,1.07092,0.93149,0.93569,0.86420,0.551,0.449
87,0.17511,1.08219,0.93124,0.93561,0.86466,0.550,0.450
88,0.16667,1.08390,0.93126,0.93551,0.86420,0.547,0.453
89,0.16197,1.09551,0.93108,0.93553,0.86512,0.546,0.454
90,0.15393,1.10049,0.93079,0.93502,0.86489,0.543,0.457
91,0.15165,1.11280,0.93099,0.93535,0.86512,0.541,0.459
92,0.14184,1.11337,0.93119,0.93541,0.86535,0.539,0.461
93,0.24937,0.48976,0.91013,0.91751,0.81342,0.538,0.462
94,0.21065,0.55170,0.93012,0.93635,0.85846,0.537,0.463
95,0.14466,0.73835,0.92649,0.93293,0.84766,0.536,0.464
96,0.15014,0.71037,0.93078,0.93603,0.86466,0.538,0.462
97,0.13328,0.76754,0.93091,0.93635,0.86236,0.538,0.462
98,0.12991,0.79728,0.93111,0.93546,0.86489,0.537,0.463
99,0.12663,0.81990,0.93267,0.93747,0.86558,0.537,0.463
100,0.12326,0.84146,0.93245,0.93712,0.86512,0.536,0.464
101,0.12342,0.85419,0.93289,0.93755,0.86719,0.536,0.464
102,0.11817,0.86478,0.93294,0.93763,0.86696,0.535,0.465
103,0.11631,0.87601,0.93307,0.93774,0.86719,0.534,0.466
104,0.11302,0.88670,0.93307,0.93778,0.86627,0.533,0.467
105,0.11112,0.89739,0.93314,0.93780,0.86604,0.533,0.467
106,0.10972,0.90839,0.93270,0.93701,0.86696,0.532,0.468
107,0.10585,0.91843,0.93305,0.93774,0.86604,0.531,0.469
108,0.10245,0.92516,0.93307,0.93781,0.86604,0.530,0.470
109,0.10050,0.93427,0.93313,0.93809,0.86627,0.530,0.470
110,0.09707,0.93991,0.93315,0.93797,0.86627,0.529,0.471
111,0.09694,0.94814,0.93327,0.93825,0.86604,0.528,0.472
112,0.09168,0.95757,0.93333,0.93847,0.86581,0.527,0.473
113,0.08972,0.96463,0.93326,0.93847,0.86650,0.526,0.474
114,0.08631,0.97329,0.93310,0.93821,0.86696,0.525,0.475
115,0.08436,0.98465,0.93300,0.93832,0.86581,0.525,0.475
116,0.08270,0.98951,0.93330,0.93867,0.86811,0.524,0.476
117,0.07908,0.99883,0.93307,0.93832,0.86765,0.523,0.477
118,0.07577,1.00553,0.93295,0.93812,0.86811,0.522,0.478
119,0.07391,1.01174,0.93305,0.93801,0.86742,0.521,0.479
120,0.07068,1.02282,0.93280,0.93790,0.86627,0.520,0.480
121,0.07047,1.02614,0.93287,0.93807,0.86857,0.519,0.481
122,0.06576,1.03492,0.93287,0.93787,0.86650,0.518,0.482
